Website Name,Product URL,Product Category,Title,Quantity,Ex VAT Price,Inc VAT Price,Currency,Brand,Condition,Product Description,Image Src 1,Image Position 1,Image Src 2,Image Position 2,Image Src 3,Image Position 3,Image Src 4,Image Position 4,Image Src 5,Image Position 5,Image Src 6,Image Position 6,Image Src 7,Image Position 7
soundwall.info,https://www.soundwall.info/produkt/ref-2517-midas-dl153-digital-stagebox/,Audio,Ref 2517 Midas DL153 digital Stagebox,,1200.00,POA,EUR,Midas,sehr guter Zustand,"gebraucht, sehr guter Zustand
ohne Case
jetzt anfragen
Stückpreis",https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2517-Midas-DL153-Stagebox-2.jpg,1,https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2517-Midas-DL153-Stagebox-1.jpg,2,,3,,4,,5,,6,,7
soundwall.info,https://www.soundwall.info/produkt/ref-2516-midas-pro-1-mischpult/,Audio,Ref 2516 Midas Pro 1 Mischpult,,2200.00,POA,EUR,Midas,in sehr gutem Zustand,"gebraucht, in sehr gutem Zustand
im Case mit Dockhouse
jetzt anfragen
Stückpreis",https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2516-Midas-Pro1-mixer-2.jpg,1,https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2516-Midas-Pro1-mixer-3.jpg,2,https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2516-Midas-Pro1-mixer-4.jpg,3,https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2516-Midas-Pro1-mixer-1.jpg,4,,5,,6,,7
soundwall.info,https://www.soundwall.info/produkt/ref-2515-db-audiotechnik-e12-paket/,Audio,Ref 2515 D&B Audiotechnik E12 Paket,,4200.00,POA,EUR,D&B,guter Zustand,"gebraucht, guter Zustand
2 x E12 Speaker
NL Anschlüsse
2 x Schwenkneiger
1 x Doppelcase
mehrere Doppelcases verfügbar
jetzt anfragen
Preis / Doppelcase",https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2515-DB-E12-Speaker-2.jpg,1,https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2515-DB-E12-Speaker-1.jpg,2,,3,,4,,5,,6,,7
soundwall.info,https://www.soundwall.info/produkt/ref-2514-db-audiotechnik-b6-subwoofer/,Audio,Ref 2514 D&B Audiotechnik B6 Subwoofer,,3300.00,POA,EUR,D&B,guter Zustand,"gebraucht, guter Zustand
NL Anschlüsse
mit Schutzdeckel
8 Stk. verfügbar
jetzt anfragen
Stückpreis",https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2514-DB-B6-Subwoofer-2.jpg,1,https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2514-DB-B6-Subwoofer-3.jpg,2,https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2514-DB-B6-Subwoofer-1.jpg,3,,4,,5,,6,,7
soundwall.info,https://www.soundwall.info/produkt/ref-2513-db-audiotechnik-y12-tops/,Audio,Ref 2513 D&B Audiotechnik Y12 Tops,,6600.00,POA,EUR,D&B,in gutem Zustand,"gebraucht, in gutem Zustand
2 x Y12 Tops
1 x Doppelcase
NL Anschlüsse
10 Doppelcases verfügbar
jetzt anfragen
Preis per Doppelcase",https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2513-DB-Y12-Tops-2.jpg,1,https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2513-DB-Y12-Tops-3.jpg,2,https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2513-DB-Y12-Tops-4.jpg,3,https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2513-DB-Y12-Tops-5.jpg,4,https://www.soundwall.info/wp-content/uploads/2026/06/Ref-2513-DB-Y12-Tops-1.jpg,5,,6,,7
soundwall.info,https://www.soundwall.info/produkt/ref-2509-yamaha-ql1-digital-mischpult/,Audio,Ref 2509 Yamaha QL1 digital Mischpult,,3700.00,POA,EUR,Yamaha,guter Zustand,"gebraucht, guter Zustand
checked 100% ok
im Amptown Case mit Dockhouse und Rollen
mit Pultleuchte und Stromverteiler
jetzt anfragen
Stückpreis",https://www.soundwall.info/wp-content/uploads/2026/05/Ref-2509-Yamaha-QL1-4.jpg,1,https://www.soundwall.info/wp-content/uploads/2026/05/Ref-2509-Yamaha-QL1-5.jpg,2,https://www.soundwall.info/wp-content/uploads/2026/05/Ref-2509-Yamaha-QL1-3.jpg,3,,4,,5,,6,,7
soundwall.info,https://www.soundwall.info/produkt/ref-2508-l-acoustics-k3-linearray-set/,Audio,Ref 2508 L-acoustics K3 Linearray Set,,139000.00,POA,EUR,L-acoustics,sehr guter Zustand,"gebraucht – sehr guter Zustand
20 x L-acoustics K3 Tops
04 x K3 trolley, 04 x K3 trolley Cover
02 x K3 bump
02 x K3 bar
02 x Kara down cased
02 x K3 Tilt mounts
jetzt anfragen
Paketpreis",https://www.soundwall.info/wp-content/uploads/2026/04/Ref-2508-L-acoustics-K3-Set-2.jpg,1,https://www.soundwall.info/wp-content/uploads/2026/04/Ref-2508-L-acoustics-K3-Set-3.jpg,2,https://www.soundwall.info/wp-content/uploads/2026/04/Ref-2508-L-acoustics-K3-Set-4.jpg,3,https://www.soundwall.info/wp-content/uploads/2026/04/Ref-2508-L-acoustics-K3-Set-5.jpg,4,https://www.soundwall.info/wp-content/uploads/2026/04/Ref-2508-L-acoustics-K3-Set-1.jpg,5,,6,,7
soundwall.info,https://www.soundwall.info/produkt/ref-2507-meyer-sound-m3d-linearray-set/,Audio,Ref 2507 Meyer Sound M3D Linearray Set,,17000.00,POA,EUR,Meyer,sehr guter Zustand,"gebraucht – sehr guter Zustand
aus Festinstallation
10 x Meyer Sound M3D Tops
02 x Flugrahmen
einige Ersatzteile
jetzt anfragen
Setpreis",https://www.soundwall.info/wp-content/uploads/2026/03/Ref-2507-Meyer-Sound-M3D-Set-2.jpg,1,https://www.soundwall.info/wp-content/uploads/2026/03/Ref-2507-Meyer-Sound-M3D-Set-1.jpg,2,,3,,4,,5,,6,,7
soundwall.info,https://www.soundwall.info/produkt/ref-2506-meyer-sound-msl-4-top/,Audio,Ref 2506 Meyer Sound MSL-4 Top,,1350.00,POA,EUR,Meyer,guter Zustand,"gebraucht, guter Zustand
lackierte Version
mit Flugrahmen und Transportdolly je Box
mit jeweils zwei Boxen kommt ein Front und Back Flugverbinder
Kugelbolzen und ein Y . Powerkabel
4 Stk. verfügbar
jetzt anfragen
Stückpreis
 ",https://www.soundwall.info/wp-content/uploads/2026/03/Ref-2506-Meyer-Sound-MSL-4-Tops-2.jpg,1,https://www.soundwall.info/wp-content/uploads/2026/03/Ref-2506-Meyer-Sound-MSL-4-Tops-3.jpg,2,https://www.soundwall.info/wp-content/uploads/2026/03/Ref-2506-Meyer-Sound-MSL-4-Tops-4.jpg,3,https://www.soundwall.info/wp-content/uploads/2026/03/Ref-2506-Meyer-Sound-MSL-4-Tops-1.jpg,4,,5,,6,,7
soundwall.info,https://www.soundwall.info/produkt/ref-2505-l-acoustics-arcs-wifo-und-sb-18m-paket/,Audio,Ref 2505 L-acoustics ARCS Wifo und SB 18M Paket,,29000.00,POA,EUR,L-acoustics,guter Zustand,"gebraucht – guter Zustand
100% in Function
4 x L-acoustics ARCS Wide in Doppelcases
4 x L-acoustics ARCS Focus in Doppelcases
2 x WifoBar
2 x WifoBump
8 x L-acoustics SB18M Subwoofer mit Softcover
es ist auch möglich nur die Tops oder die Bässe zu kaufen
jetzt anfragen
Paketpreis",https://www.soundwall.info/wp-content/uploads/2026/03/Ref-2505-L-acoustics-ARCS-Wifo-SB18M-2.jpg,1,https://www.soundwall.info/wp-content/uploads/2026/03/Ref-2505-L-acoustics-ARCS-Wifo-SB18M-3.jpg,2,https://www.soundwall.info/wp-content/uploads/2026/03/Ref-2505-L-acoustics-ARCS-Wifo-SB18M-1.jpg,3,,4,,5,,6,,7
soundwall.info,https://www.soundwall.info/produkt/ref-2502-martin-audio-mla-mini-system/,Audio,Ref 2502 Martin Audio MLA Mini System,,48000.00,POA,EUR,Martin,sehr guter Zustand,"gebraucht, sehr guter Zustand
16 x Martin Audio MLA Mini Linearray Tops
01 x Flug Set mit 2 Flugrahmen und Inclinometer, Case und Zubehör (ASF17026)
04 x MLA Mini Stativadapter  (ASF20059)
04 x Kurbelstative (HAM09224)
08 x MLA Mini Speaker Kabel – 2xNL8 to 4xNL4 (ASF12031)
04 x MLA Mini Quad Case
02 x MLA Mini Hardware Case
04 x UNet auf RJ45 Adapterkabel(PCX00043)
04 x Martin Audio MSX Subwoofer
04 x MSX Rollbrett und Transportcover (ASF17025)
04 x MSX Ground-Stack Grundplatte (ASF20062)
04 x MSX Regenschutz (ASF15027)
08 x Martin Audio CSX-Live 218 Subwoofer
08 x CSX218 Transportcover
08 x CSX218 Regenschutz
12 x PowerCon Kabel
jetzt anfragen
Paketpreis",https://www.soundwall.info/wp-content/uploads/2026/03/Ref-2502-Martin-Audio-MLA-Mini-2.jpg,1,https://www.soundwall.info/wp-content/uploads/2026/03/Ref-2502-Martin-Audio-MLA-Mini-1.jpg,2,,3,,4,,5,,6,,7
soundwall.info,https://www.soundwall.info/produkt/2500-sennheiser-6000-paket/,Audio,Ref 2500 Sennheiser 6000 Paket,,26000.00,POA,EUR,Sennheiser,gebraucht,"gebraucht
04 x Sennheiser EM6000 Doppelempfänger
01 x Sennheiser EK6042 Kameraempfänger
08 x Sennheiser SK 6000 Bodypacks
10 x Sennheiser BA61 Akkus für SK6000
08 x Sennheiser SKM 6000 Handsender
08 x Sennheiser BA60 Akkus für SKM6000
02 x Sennheiser L6000 Lader
Mikros für SKM 6000
04 x Sennheiser 935
04 x Sennheiser 965
02 x Neumann 105
02 x SE Electronics V7
02 x DPA
jetzt anfragen
Paketpreis",https://www.soundwall.info/wp-content/uploads/2026/02/Ref-2500-Sennheiser-6000.jpg,1,,2,,3,,4,,5,,6,,7
soundwall.info,https://www.soundwall.info/produkt/ref-2495-jbl-vtx-a8-linearray-set/,Audio,Ref 2495 JBL VTX A8 Linearray Set,,55500.00,POA,EUR,JBL,16 x JBL VTX A8 Linerray Tops ( mehr Tops verfügbar),"16 x JBL VTX A8 Linerray Tops ( mehr Tops verfügbar)
02 x Flugrahmen
gebraucht, guter Zustand
Crown Amping auf Anfrage
jetzt anfragen
Paketpreis",https://www.soundwall.info/wp-content/uploads/2026/02/Ref-2495-JBL-VTX-A8.jpg,1,,2,,3,,4,,5,,6,,7
